29 Jul 2017 13:30:02 : Proton Gaming Network, infinityevolved, Pikadude1228#0109, No, unexpected error when launching, I ended up deleting the mod pack and reinstalling it.
29 Jul 2017 13:32:51 : Proton Gaming Network, staff_general, Pikadude1228#0109, There it showed a difference of like 10 mods but when I launched it told me I had 6 or 7 duplicates
29 Jul 2017 18:08:05 : Achievement Heaven, staff-room, Botfuzzy77#2209, Yes... But I don't like to spend too much time playing games, I like to try to make history are a least tell the people a useful word.
29 Jul 2017 18:08:43 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 a useful word like
29 Jul 2017 18:08:44 : Achievement Heaven, staff-room, Botfuzzy77#2209, Plaing video games.
29 Jul 2017 18:08:53 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 wow
29 Jul 2017 18:08:54 : Achievement Heaven, staff-room, Botfuzzy77#2209, Ewes.
29 Jul 2017 18:15:12 : Legacy Craft, screenshots, tigertiger02#4338, @subzero69 over here
29 Jul 2017 18:18:21 : Mythical Trinity, announcements, Elijah_Laaku#0688, Server:
29 Jul 2017 18:18:29 : Mythical Trinity, announcements, Elijah_Laaku#0688, The server is open to public now.
29 Jul 2017 18:18:34 : Mythical Trinity, announcements, Elijah_Laaku#0688, Whitelist disabled.
29 Jul 2017 18:19:22 : Mythical Trinity, announcements, AzraelTheGreat#9534, i just woke up and i wanna go back to sleep :/
29 Jul 2017 18:19:26 : Mythical Trinity, announcements, AzraelTheGreat#9534, server is public?
29 Jul 2017 18:19:28 : Mythical Trinity, announcements, AzraelTheGreat#9534, how come?
29 Jul 2017 18:21:02 : Achievement Heaven, general, maddog780ca#9376, I won't be on the server today until later on please keep a eye on the server until I get back thanks
29 Jul 2017 18:21:21 : Mythical Trinity, announcements, Elijah_Laaku#0688, Dont write in this section
29 Jul 2017 18:21:22 : Achievement Heaven, general, tigertiger02#4338, k
29 Jul 2017 18:21:27 : Mythical Trinity, announcements, Elijah_Laaku#0688, its just announcments
29 Jul 2017 18:21:29 : Mythical Trinity, announcements, AzraelTheGreat#9534, ih crap
29 Jul 2017 18:21:36 : Mythical Trinity, announcements, AzraelTheGreat#9534, i didnt watch wait
29 Jul 2017 18:21:37 : Achievement Heaven, general, tigertiger02#4338, ill go on once i finish building my machine
29 Jul 2017 18:21:39 : Mythical Trinity, announcements, AzraelTheGreat#9534, ima delete
29 Jul 2017 18:22:05 : Achievement Heaven, general, maddog780ca#9376, Alright tyt
29 Jul 2017 18:22:49 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, ok so how come server is public>?
29 Jul 2017 18:23:10 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, I disabled whitelist. I added the voting system but itsnot working yet correctly
29 Jul 2017 18:23:12 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, but
29 Jul 2017 18:23:22 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, our server is on 2 minecraft lists
29 Jul 2017 18:30:32 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, so the server is done? now open to public?..
29 Jul 2017 18:31:14 : Proton Gaming Network, grandgeneral, Insanity#1039, https://www.youtube.com/watch?v=i9TbyuKqJDI&ab_channel=lolppplays
29 Jul 2017 18:31:23 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, And use @​everyone  in announcements...
29 Jul 2017 18:31:27 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, from now on
29 Jul 2017 18:31:34 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, ok
29 Jul 2017 18:31:39 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, It's not done
29 Jul 2017 18:31:46 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, but ppl can play
29 Jul 2017 18:32:32 : Mythical Trinity, announcements, AzraelTheGreat#9534, @​everyone The homepage is available at https://mythicaltrinity.enjin.com/
29 Jul 2017 18:33:05 : Mythical Trinity, announcements, AzraelTheGreat#9534, @​everyone The server can be joined on with play.mythicaltrinity.de
29 Jul 2017 18:33:23 : Mythical Trinity, announcements, AzraelTheGreat#9534, The server can be joined on with play.mythicaltrinity.de
29 Jul 2017 18:33:33 : Mythical Trinity, announcements, AzraelTheGreat#9534, The server is open to public now.
29 Jul 2017 18:33:39 : Mythical Trinity, announcements, AzraelTheGreat#9534, The server can be joined on with play.mythicaltrinity.de
29 Jul 2017 18:41:31 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i didnt read what u said i left the game cuz i was scared for him to not see me xD
29 Jul 2017 18:42:09 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, my question was answered
29 Jul 2017 18:45:37 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, and the question was :D??
29 Jul 2017 18:46:07 : None, Direct Message with TherminatorX, TherminatorX#6644, ;train
29 Jul 2017 18:46:09 : None, Direct Message with TherminatorX, Botfuzzy77#2209, 
29 Jul 2017 18:46:11 : None, Direct Message with TherminatorX, Botfuzzy77#2209, 
29 Jul 2017 18:49:49 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, Also
29 Jul 2017 18:49:58 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, I corrected some grammar mistakes in the lil story you wrote.
29 Jul 2017 18:50:00 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, @Elijah
29 Jul 2017 18:50:59 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, And why the forums say I got one post? I got three topics created.
29 Jul 2017 18:55:03 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, Those in the format section dont count
29 Jul 2017 18:55:10 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, uh
29 Jul 2017 18:55:13 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, what is this
29 Jul 2017 18:55:13 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, https://wysson-forums.enjin.com/dashboard/applications/application?app_id=8889200
29 Jul 2017 18:55:43 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, I made an app form
29 Jul 2017 18:55:57 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, why is it on wysson forumstho?
29 Jul 2017 18:56:31 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, I don't even know what that is
29 Jul 2017 18:56:38 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, the link says
29 Jul 2017 18:56:44 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, I know what it says
29 Jul 2017 18:56:47 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, https://wysson-forums.enjuin.com
29 Jul 2017 18:56:49 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, But i dont know it
29 Jul 2017 18:56:50 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, 0-0
29 Jul 2017 18:56:55 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, why is it there then?...
29 Jul 2017 18:57:00 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, where is it supposed to be?
29 Jul 2017 18:57:11 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, it is on our website
29 Jul 2017 18:57:23 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, I don't care about what the link says
29 Jul 2017 18:57:43 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, go to the top menu on our website
29 Jul 2017 18:57:53 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, there it say Staff App
29 Jul 2017 18:58:13 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, ok
29 Jul 2017 18:58:20 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, maybe that happened
29 Jul 2017 18:58:26 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, bcuz they both run on enjin (the forums)
29 Jul 2017 18:58:34 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, so they merged
29 Jul 2017 18:58:37 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, thats probably it
29 Jul 2017 18:59:16 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, prob
29 Jul 2017 18:59:26 : LimitlessMc, botchat, KidKraft#7732, ;train
29 Jul 2017 18:59:28 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 18:59:29 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 18:59:36 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, What do you think about my Server discription
29 Jul 2017 19:00:02 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, well i couldnt make a better one ... (if i didnt try)
29 Jul 2017 19:00:06 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, so its good
29 Jul 2017 19:00:15 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, check spelling and so on
29 Jul 2017 19:00:18 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i did
29 Jul 2017 19:00:25 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i told you that i fixed grammar mistakes
29 Jul 2017 19:00:29 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, on the story
29 Jul 2017 19:00:32 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, also
29 Jul 2017 19:00:33 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, question
29 Jul 2017 19:00:42 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, how do i add another like...
29 Jul 2017 19:00:45 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, did see that
29 Jul 2017 19:00:46 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, thingy to the forums?
29 Jul 2017 19:00:55 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, likje
29 Jul 2017 19:00:57 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, what thingy
29 Jul 2017 19:00:57 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, Server Section
29 Jul 2017 19:00:59 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, and User Section
29 Jul 2017 19:01:04 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, that can contain topics
29 Jul 2017 19:01:09 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, how do i create one?
29 Jul 2017 19:01:15 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, tryna figure that out
29 Jul 2017 19:01:19 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, but its easier to ask you
29 Jul 2017 19:01:44 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, ITell me what u want to add exactly
29 Jul 2017 19:01:58 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, A "Community" section
29 Jul 2017 19:02:02 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, that contains General Chat
29 Jul 2017 19:02:04 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, Off-Topic
29 Jul 2017 19:02:05 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, and so on
29 Jul 2017 19:02:35 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, Is it needed
29 Jul 2017 19:02:40 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, Find it very doodling
29 Jul 2017 19:03:23 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, ima brb g2 go to a pizzeria
29 Jul 2017 19:03:30 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, and take a pizza
29 Jul 2017 19:03:52 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, I added it
29 Jul 2017 19:05:30 : LimitlessMc, botchat, Star#0288, ;train
29 Jul 2017 19:05:32 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:05:34 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:05:37 : LimitlessMc, botchat, Star#0288, ;mine
29 Jul 2017 19:05:39 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:05:41 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:05:58 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, u couldnt have edited much on my story.
29 Jul 2017 19:06:04 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, Can't find any changes
29 Jul 2017 19:12:57 : Kernal Cannon Official, general, Kernal Cannon#6221, thanks bro
29 Jul 2017 19:14:17 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i didnt
29 Jul 2017 19:14:20 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i corrected grammar
29 Jul 2017 19:14:23 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, im back
29 Jul 2017 19:14:31 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, Meant that
29 Jul 2017 19:14:31 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, but think u figured xD
29 Jul 2017 19:14:51 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, settlements* not sattlements
29 Jul 2017 19:14:52 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, 😉
29 Jul 2017 19:14:59 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, darling ❤ 😗
29 Jul 2017 19:15:06 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, Thats not grammar
29 Jul 2017 19:15:16 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, typo
29 Jul 2017 19:15:23 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i keep forgetting the difference
29 Jul 2017 19:15:26 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, sorry darling
29 Jul 2017 19:15:27 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, xD
29 Jul 2017 19:15:35 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, im in a good mood
29 Jul 2017 19:15:37 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, if i upset you
29 Jul 2017 19:15:38 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, ignore me
29 Jul 2017 19:15:46 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, (upset you by saying "darling")
29 Jul 2017 19:24:48 : LimitlessMc, botchat, KidKraft#7732, ;train
29 Jul 2017 19:24:48 : LimitlessMc, botchat, Botfuzzy77#2209, Please wait 282 seconds before you can train again.
29 Jul 2017 19:38:54 : LimitlessMc, botchat, KidKraft#7732, ;train
29 Jul 2017 19:38:56 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:38:58 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:39:59 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, me when i see m wif
29 Jul 2017 19:45:49 : RooberBoobers, kinkyrubiestalk, navel#8336, A
29 Jul 2017 19:45:51 : RooberBoobers, kinkyrubiestalk, navel#8336, FJVKFDNVFDB
29 Jul 2017 19:45:55 : RooberBoobers, kinkyrubiestalk, navel#8336, Thtats g
29 Jul 2017 19:47:43 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, hopefully ppl wont think its german due to .de :/
29 Jul 2017 19:47:48 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, most of them do
29 Jul 2017 19:47:54 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, so we might not get many players bcuz of that
29 Jul 2017 19:47:56 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, but only germans
29 Jul 2017 19:48:01 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i dont want that xD
29 Jul 2017 19:48:13 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, We'll see
29 Jul 2017 19:48:18 : Achievement Heaven, general, GamerKatland#1817, i got new internet YAY
29 Jul 2017 19:48:18 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, D:
29 Jul 2017 19:48:27 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, I don't know
29 Jul 2017 19:48:33 : Achievement Heaven, general, tigertiger02#4338, yay it better be good
29 Jul 2017 19:48:44 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, the homepage language is English
29 Jul 2017 19:48:47 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, so i dont know
29 Jul 2017 19:48:51 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, make it say that its english on the sites its posted
29 Jul 2017 19:48:51 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, xD
29 Jul 2017 19:49:06 : Achievement Heaven, staff-room, GamerKatland#1817, new internet yay
29 Jul 2017 19:49:15 : Achievement Heaven, general, GamerKatland#1817, lets try it
29 Jul 2017 19:49:20 : Achievement Heaven, staff-room, tigertiger02#4338, should we try test it in call
29 Jul 2017 19:49:24 : Achievement Heaven, staff-room, tigertiger02#4338, guess so lol
29 Jul 2017 19:50:47 : Achievement Heaven, staff-room, subzero69#9175, kat hello
29 Jul 2017 19:50:55 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, 
29 Jul 2017 19:51:27 : RooberBoobers, kinkyrubiestalk, navel#8336, HJKDSKVN
29 Jul 2017 19:51:40 : Achievement Heaven, staff-room, GamerKatland#1817, hey sub
29 Jul 2017 19:51:45 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, go on the homepage
29 Jul 2017 19:51:54 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i am
29 Jul 2017 19:51:59 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, reload
29 Jul 2017 19:52:05 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i did
29 Jul 2017 19:52:08 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, before u said
29 Jul 2017 19:52:18 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, ah yes
29 Jul 2017 19:52:20 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i noticede
29 Jul 2017 19:52:25 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, noticede lmao
29 Jul 2017 19:52:26 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, new meme
29 Jul 2017 19:52:39 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, Like it that way?
29 Jul 2017 19:52:55 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, Yeah
29 Jul 2017 19:53:05 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, ok
29 Jul 2017 19:54:51 : LimitlessMc, botchat, Star#0288, ;train
29 Jul 2017 19:54:53 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:54:55 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:55:07 : LimitlessMc, botchat, Star#0288, ;mine
29 Jul 2017 19:55:09 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:55:11 : LimitlessMc, botchat, Botfuzzy77#2209, 
29 Jul 2017 19:55:21 : LimitlessMc, botchat, Star#0288, ayy doubled
29 Jul 2017 20:00:50 : Achievement Heaven, memes, GamerKatland#1817, bad small tiger is a boy also im the redhead
29 Jul 2017 20:01:35 : Achievement Heaven, memes, tigertiger02#4338, yui kill @DJ Small
29 Jul 2017 20:01:35 : Achievement Heaven, memes, Yui (ユイ)#2222, 
29 Jul 2017 20:02:43 : Achievement Heaven, memes, tigertiger02#4338, yui match @DJ Small @Yui (ユイ)
29 Jul 2017 20:02:43 : Achievement Heaven, memes, Yui (ユイ)#2222, 
29 Jul 2017 20:02:46 : Achievement Heaven, staff-room, GamerKatland#1817, @Tiger  and @DJ Small  please be nice to each other. and please no calling tiger a girl thank you.
29 Jul 2017 20:03:01 : Achievement Heaven, staff-room, tigertiger02#4338, k
29 Jul 2017 20:03:02 : Achievement Heaven, staff-room, GamerKatland#1817, and tiger no calling small a girl either
29 Jul 2017 20:03:09 : Achievement Heaven, staff-room, tigertiger02#4338, yui spank small
29 Jul 2017 20:03:10 : Achievement Heaven, staff-room, Yui (ユイ)#2222, You gave @DJ Small a spank! That's 5 spanks now!
29 Jul 2017 20:03:19 : Achievement Heaven, staff-room, tigertiger02#4338, i never called him 1 though
29 Jul 2017 20:03:30 : Achievement Heaven, staff-room, GamerKatland#1817, just for future referece
29 Jul 2017 20:03:32 : Achievement Heaven, staff-room, GamerKatland#1817, lol
29 Jul 2017 20:03:45 : Achievement Heaven, staff-room, tigertiger02#4338, i don;t think i have said any thing un _nice_ to him
29 Jul 2017 20:04:07 : Achievement Heaven, staff-room, GamerKatland#1817, lol  be good you two xD
29 Jul 2017 20:04:15 : Achievement Heaven, staff-room, GamerKatland#1817, amy!help
29 Jul 2017 20:04:15 : Achievement Heaven, staff-room, amybot#2576, 
29 Jul 2017 20:06:26 : Achievement Heaven, staff-room, GamerKatland#1817, amy!memetext hello
29 Jul 2017 20:06:26 : Achievement Heaven, staff-room, amybot#2576, :regional_indicator_h: :regional_indicator_e: :regional_indicator_l: :regional_indicator_l: :regional_indicator_o:
29 Jul 2017 20:07:57 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i tried to set my rank as "gay" and i broke shit xD i cant write in chat nor do the cmd again LMAO
29 Jul 2017 20:08:00 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, HELPPP!!! XD
29 Jul 2017 20:08:03 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, @Elijah
29 Jul 2017 20:08:10 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, what did u do ? xD
29 Jul 2017 20:08:15 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, XD
29 Jul 2017 20:08:24 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, which rank did u set?
29 Jul 2017 20:08:26 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, gay
29 Jul 2017 20:08:29 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, xD
29 Jul 2017 20:08:31 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, rank gay
29 Jul 2017 20:08:39 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, wtf
29 Jul 2017 20:08:43 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, why would u
29 Jul 2017 20:08:46 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, yes and i cant do cmds
29 Jul 2017 20:08:49 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, nor type in caht
29 Jul 2017 20:08:52 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, help xD
29 Jul 2017 20:09:28 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, Let us chill?...
29 Jul 2017 20:09:35 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, MATE CHANGE MY RANK BACK TO VAGRANT XDDD
29 Jul 2017 20:09:37 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, WHYYYY
29 Jul 2017 20:09:39 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, xD
29 Jul 2017 20:09:39 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, U DO DOSSS
29 Jul 2017 20:09:43 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, I HATE UUUU
29 Jul 2017 20:09:43 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, XD
29 Jul 2017 20:09:46 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, PLIIZZZ
29 Jul 2017 20:10:25 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i fked it up
29 Jul 2017 20:10:26 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, again :/
29 Jul 2017 20:10:35 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i set something to myself as "group" twice
29 Jul 2017 20:10:35 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, xD
29 Jul 2017 20:10:40 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, this cmd
29 Jul 2017 20:10:42 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, i hate it
29 Jul 2017 20:10:45 : Mythical Trinity, bigbosses, Elijah_Laaku#0688, xD
29 Jul 2017 20:10:47 : Mythical Trinity, bigbosses, AzraelTheGreat#9534, im so incorigible
29 Jul 2017 20:12:03 : Achievement Heaven, staff-room, DeMadViper#5977, I wonder how many showers I need to take right now...
29 Jul 2017 20:12:07 : Achievement Heaven, staff-room, tigertiger02#4338, yui match demadviper @DeMadAmy
29 Jul 2017 20:12:07 : Achievement Heaven, staff-room, Yui (ユイ)#2222, 
29 Jul 2017 20:12:52 : Achievement Heaven, staff-room, DeMadViper#5977, @DeMadAmy Hey babe
29 Jul 2017 20:12:57 : Achievement Heaven, staff-room, DeMadViper#5977, XD
29 Jul 2017 20:12:58 : Achievement Heaven, staff-room, GamerKatland#1817, lol
29 Jul 2017 20:13:03 : Achievement Heaven, staff-room, DeMadViper#5977, No response
29 Jul 2017 20:13:17 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, http://www.mommytimes.net/
29 Jul 2017 20:13:40 : Achievement Heaven, staff-room, GamerKatland#1817, im trying make a custon command for that
29 Jul 2017 20:14:18 : Achievement Heaven, staff-room, DeMadViper#5977, Ok I'll be back later
29 Jul 2017 20:14:27 : Achievement Heaven, staff-room, tigertiger02#4338, k cya
29 Jul 2017 20:14:29 : Achievement Heaven, staff-room, DeMadViper#5977, I'ma see if 10 showers will do
29 Jul 2017 20:14:32 : Achievement Heaven, staff-room, DeMadViper#5977, XD
29 Jul 2017 20:14:38 : Achievement Heaven, staff-room, tigertiger02#4338, @DeMadAmy he is leaving u
29 Jul 2017 20:14:45 : Achievement Heaven, staff-room, tigertiger02#4338, lol
29 Jul 2017 20:15:00 : Achievement Heaven, staff-room, GamerKatland#1817, lol
29 Jul 2017 20:15:09 : Achievement Heaven, staff-room, DeMadViper#5977, @DeMadAmy  I just need to smell sexy babe...
29 Jul 2017 20:15:18 : Achievement Heaven, staff-room, maddog780ca#9376, I don't want to deal with no crap today honestly
29 Jul 2017 20:15:27 : Achievement Heaven, staff-room, tigertiger02#4338, lol
29 Jul 2017 20:15:33 : Achievement Heaven, staff-room, maddog780ca#9376, My day is going great so far
29 Jul 2017 20:15:37 : Achievement Heaven, staff-room, GamerKatland#1817, no worries maddog
29 Jul 2017 20:15:38 : Achievement Heaven, staff-room, tigertiger02#4338, thats good
29 Jul 2017 20:15:47 : Achievement Heaven, staff-room, tigertiger02#4338, we just messing
29 Jul 2017 20:15:48 : Achievement Heaven, staff-room, GamerKatland#1817, ill spank small and tiger if need be
29 Jul 2017 20:15:52 : Achievement Heaven, staff-room, tigertiger02#4338, nooo
29 Jul 2017 20:15:54 : Achievement Heaven, staff-room, tigertiger02#4338, no
29 Jul 2017 20:15:56 : Achievement Heaven, staff-room, GamerKatland#1817, yui spank @Tiger
29 Jul 2017 20:15:56 : Achievement Heaven, staff-room, Yui (ユイ)#2222, You gave @Tiger a spank! That's 2 spanks now!
29 Jul 2017 20:15:56 : Achievement Heaven, staff-room, Yui (ユイ)#2222, 
29 Jul 2017 20:16:08 : Achievement Heaven, staff-room, tigertiger02#4338, ***DON'T***
29 Jul 2017 20:16:13 : RooberBoobers, kinkyrubiestalk, navel#8336, ABHJGDBJK
29 Jul 2017 20:16:21 : Achievement Heaven, staff-room, tigertiger02#4338, yui kill kat
29 Jul 2017 20:16:22 : Achievement Heaven, staff-room, Yui (ユイ)#2222, 
29 Jul 2017 20:16:36 : Achievement Heaven, staff-room, GamerKatland#1817, yui kill Tiger
29 Jul 2017 20:16:36 : Achievement Heaven, staff-room, Yui (ユイ)#2222, 
29 Jul 2017 20:16:39 : Achievement Heaven, staff-room, tigertiger02#4338, no one messes with me
29 Jul 2017 20:16:43 : RooberBoobers, kinkyrubiestalk, dick van lick#7498, tap into the power
29 Jul 2017 20:16:45 : Achievement Heaven, staff-room, tigertiger02#4338, like that get rekt
29 Jul 2017 20:16:50 : Achievement Heaven, staff-room, tigertiger02#4338, u will never beat me
29 Jul 2017 20:18:07 : Achievement Heaven, staff-room, tigertiger02#4338, yui spank kat
29 Jul 2017 20:18:08 : Achievement Heaven, staff-room, Yui (ユイ)#2222, You gave @Kat a spank! That's 18 spanks now!
29 Jul 2017 20:18:56 : Achievement Heaven, staff-room, tigertiger02#4338, yui catgirl
29 Jul 2017 20:18:56 : Achievement Heaven, staff-room, Yui (ユイ)#2222, 🐱 **| Here's a kitty cat for you:**
