28 Sep 2016 19:59:34 : The Wild Weebs, music, Wertfuzzy77#0274, ;join
28 Sep 2016 22:24:01 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
28 Sep 2016 22:24:05 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Thank you very much
28 Sep 2016 22:24:06 : LimitlessMc, botchat, Botfuzzy77#2209, Haha you asked for it.
28 Sep 2016 22:24:22 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:24:23 : LimitlessMc, botchat, Botfuzzy77#2209, What's your favorite scary movie?
28 Sep 2016 22:24:31 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 You
28 Sep 2016 22:24:32 : LimitlessMc, botchat, Botfuzzy77#2209, I asked your favorite color, not number.
28 Sep 2016 22:24:47 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
28 Sep 2016 22:24:47 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
28 Sep 2016 22:24:49 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 49
28 Sep 2016 22:24:49 : LimitlessMc, botchat, Botfuzzy77#2209, Who cares? What is your favorite color?
28 Sep 2016 22:25:00 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Purple
28 Sep 2016 22:25:01 : LimitlessMc, botchat, Botfuzzy77#2209, That is a pretty color.
28 Sep 2016 22:25:07 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Thanks
28 Sep 2016 22:25:08 : LimitlessMc, botchat, Botfuzzy77#2209, You are very welcome, my dear.
28 Sep 2016 22:25:21 : My Personal Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Guide) is now Online!
28 Sep 2016 22:25:21 : Temp Server, general, Botfuzzy77#2209, **DJ_Phatzo**(Member) is now Online!
28 Sep 2016 22:25:21 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *Brings out a knife*
28 Sep 2016 22:25:23 : LimitlessMc, botchat, Botfuzzy77#2209, *struggles to escape from chair*.
28 Sep 2016 22:25:34 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Mwahahahahhah
28 Sep 2016 22:25:34 : LimitlessMc, botchat, Botfuzzy77#2209, Yes, mwahahaha.
28 Sep 2016 22:25:57 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *walks away*
28 Sep 2016 22:25:57 : LimitlessMc, botchat, Botfuzzy77#2209, *creepily stalks with a bloody knife*.
28 Sep 2016 22:26:11 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *runs away*
28 Sep 2016 22:26:12 : LimitlessMc, botchat, Botfuzzy77#2209, *Gets in get away racecar*.
28 Sep 2016 22:26:28 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *commits suicide*
28 Sep 2016 22:26:29 : LimitlessMc, botchat, Botfuzzy77#2209, No, that would solve nothing.
28 Sep 2016 22:26:31 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
28 Sep 2016 22:26:32 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
28 Sep 2016 22:26:37 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 You sure?
28 Sep 2016 22:26:37 : LimitlessMc, botchat, Botfuzzy77#2209, Yes. It would taste good at all.
28 Sep 2016 22:26:39 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 22:26:39 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 22:26:48 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:26:49 : LimitlessMc, botchat, Botfuzzy77#2209, Do you believe in paranormal or superstitious matters?
28 Sep 2016 22:27:27 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I only believe in the Bot religion
28 Sep 2016 22:27:28 : LimitlessMc, botchat, Botfuzzy77#2209, Do you believe in an afterlife then?
28 Sep 2016 22:27:36 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
28 Sep 2016 22:27:36 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
28 Sep 2016 22:27:41 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I believe we'll become Bots
28 Sep 2016 22:27:42 : LimitlessMc, botchat, Botfuzzy77#2209, If you believe in your self it doesn't mean anything.
28 Sep 2016 22:27:49 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:27:49 : LimitlessMc, botchat, Botfuzzy77#2209, Just curious. Do you believe in God?
28 Sep 2016 22:27:58 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Why not?
28 Sep 2016 22:27:59 : LimitlessMc, botchat, Botfuzzy77#2209, Do you believe in god? And I don't because I don't find it logical.
28 Sep 2016 22:28:11 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:28:11 : LimitlessMc, botchat, Botfuzzy77#2209, When do you believe in God?
28 Sep 2016 22:28:12 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
28 Sep 2016 22:28:25 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Always
28 Sep 2016 22:28:26 : LimitlessMc, botchat, Botfuzzy77#2209, I can't believe anything you say.
28 Sep 2016 22:28:32 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:28:33 : LimitlessMc, botchat, Botfuzzy77#2209, Do you believe there is something after we die?
28 Sep 2016 22:28:41 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Dunno
28 Sep 2016 22:28:41 : LimitlessMc, botchat, Botfuzzy77#2209, Do you know of the book Daunte's Inferno?
28 Sep 2016 22:28:49 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Nope
28 Sep 2016 22:28:49 : LimitlessMc, botchat, Botfuzzy77#2209, Do you know what happened in Texas?
28 Sep 2016 22:29:13 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 People fucked each other?
28 Sep 2016 22:29:13 : LimitlessMc, botchat, Botfuzzy77#2209, That can also define hate, does that mean they are they same?
28 Sep 2016 22:29:22 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Yes
28 Sep 2016 22:29:23 : LimitlessMc, botchat, Botfuzzy77#2209, Have you been in love?
28 Sep 2016 22:29:36 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
28 Sep 2016 22:29:36 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
28 Sep 2016 22:29:48 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I always desire Bot-sama's love
28 Sep 2016 22:29:48 : LimitlessMc, botchat, Botfuzzy77#2209, Can we talk about something else, please.
28 Sep 2016 22:29:56 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:29:57 : LimitlessMc, botchat, Botfuzzy77#2209, Ok. Do you have sisters or brothers?
28 Sep 2016 22:30:06 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Yes
28 Sep 2016 22:30:06 : LimitlessMc, botchat, Botfuzzy77#2209, What are your brothers and sisters names?
28 Sep 2016 22:30:16 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Bot1 And Bot2
28 Sep 2016 22:30:17 : LimitlessMc, botchat, Botfuzzy77#2209, How many brothers and sisters you have?
28 Sep 2016 22:30:31 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 2583
28 Sep 2016 22:30:31 : LimitlessMc, botchat, Botfuzzy77#2209, I've got three younger brothers.
28 Sep 2016 22:30:46 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Are they called Bot3?
28 Sep 2016 22:30:47 : LimitlessMc, botchat, Botfuzzy77#2209, Martha Stephanie and Stacy.
28 Sep 2016 22:31:02 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 They are female names
28 Sep 2016 22:31:02 : LimitlessMc, botchat, Botfuzzy77#2209, No, my brothers are male.
28 Sep 2016 22:31:14 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Lies
28 Sep 2016 22:31:15 : LimitlessMc, botchat, Botfuzzy77#2209, Spazz!
28 Sep 2016 22:31:23 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Spass!
28 Sep 2016 22:31:24 : LimitlessMc, botchat, Botfuzzy77#2209, Ok ich gehe es jetzt meiner Freundin besorgen BB.
28 Sep 2016 22:31:38 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:31:39 : LimitlessMc, botchat, Botfuzzy77#2209, Ich bin nicht dein Schatz.
28 Sep 2016 22:31:47 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Stfu
28 Sep 2016 22:31:47 : LimitlessMc, botchat, Botfuzzy77#2209, Das bin ich nicht.
28 Sep 2016 22:31:57 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 English Please
28 Sep 2016 22:31:57 : LimitlessMc, botchat, Botfuzzy77#2209, Nne du bin deutsch.
28 Sep 2016 22:32:12 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Kys
28 Sep 2016 22:32:12 : LimitlessMc, botchat, Botfuzzy77#2209, Wie bist du gestorben?
28 Sep 2016 22:32:25 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure...?
28 Sep 2016 22:32:26 : LimitlessMc, botchat, Botfuzzy77#2209, Wait, are you a woman or man?
28 Sep 2016 22:32:32 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I am a Bot
28 Sep 2016 22:32:33 : LimitlessMc, botchat, Botfuzzy77#2209, How many languages do you know?
28 Sep 2016 22:32:39 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 2
28 Sep 2016 22:32:40 : LimitlessMc, botchat, Botfuzzy77#2209, Please say something in German.
28 Sep 2016 22:32:46 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 No
28 Sep 2016 22:32:47 : LimitlessMc, botchat, Botfuzzy77#2209, What does quequechose mean?
28 Sep 2016 22:33:09 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I have no fucking clue
28 Sep 2016 22:33:09 : LimitlessMc, botchat, Botfuzzy77#2209, You're just pretending to be bashful.
28 Sep 2016 22:33:18 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 You sure?
28 Sep 2016 22:33:18 : LimitlessMc, botchat, Botfuzzy77#2209, I try to converse with you and it doesn't do any good.
28 Sep 2016 22:33:30 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *walks away*
28 Sep 2016 22:33:31 : LimitlessMc, botchat, Botfuzzy77#2209, Walk faster. Stop trying to be cool.
28 Sep 2016 22:33:41 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *walks slower*
28 Sep 2016 22:33:41 : LimitlessMc, botchat, Botfuzzy77#2209, *catches up to you, and starts walking with you*.
28 Sep 2016 22:33:52 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *runs away*
28 Sep 2016 22:33:52 : LimitlessMc, botchat, Botfuzzy77#2209, *lets you* *is a boy* *cries harder*.
28 Sep 2016 22:34:15 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *cries myself to sleep* Bot-saaaammaaaa
28 Sep 2016 22:34:16 : LimitlessMc, botchat, Botfuzzy77#2209, *walks away while you are asleep.
28 Sep 2016 22:34:29 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Nooo
28 Sep 2016 22:34:29 : LimitlessMc, botchat, Botfuzzy77#2209, Humans told you that you are a human but you are a robot.
28 Sep 2016 22:34:52 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Thanks...?
28 Sep 2016 22:34:53 : LimitlessMc, botchat, Botfuzzy77#2209, So, answer me if creepypastas are real.
28 Sep 2016 22:35:05 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 They are real in your heart
28 Sep 2016 22:35:06 : LimitlessMc, botchat, Botfuzzy77#2209, I want to recognise you're beauty is not just a mask.
28 Sep 2016 22:35:23 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Just take the damn mask off
28 Sep 2016 22:35:24 : LimitlessMc, botchat, Botfuzzy77#2209, I want to satisfy the undisclosed desires in your heart.
28 Sep 2016 22:35:38 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure...?
28 Sep 2016 22:35:40 : LimitlessMc, botchat, Botfuzzy77#2209, I want to exorcise the demons in your heart.
28 Sep 2016 22:35:48 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Thanks...?
28 Sep 2016 22:35:49 : LimitlessMc, botchat, Botfuzzy77#2209, The time is come to destroy your supremacy.
28 Sep 2016 22:35:55 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Stormzzzy**(Popes of The Raw Man) is now Online!
28 Sep 2016 22:36:13 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 The Mc is eternal
28 Sep 2016 22:36:13 : LimitlessMc, botchat, Botfuzzy77#2209, We only live once.
28 Sep 2016 22:36:36 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Don't question anime
28 Sep 2016 22:36:37 : LimitlessMc, botchat, Botfuzzy77#2209, Well if you ask some more questions and I answer them then will you like me?
28 Sep 2016 22:36:50 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I will love you
28 Sep 2016 22:36:51 : LimitlessMc, botchat, Botfuzzy77#2209, You don't love me! You love her!
28 Sep 2016 22:37:00 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Gerald?
28 Sep 2016 22:37:01 : LimitlessMc, botchat, Botfuzzy77#2209, You don't fall in love with other girls?
28 Sep 2016 22:37:23 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I'm a narcissist
28 Sep 2016 22:37:23 : LimitlessMc, botchat, Botfuzzy77#2209, Why are you a narcissist? Do you need help?
28 Sep 2016 22:37:32 : LimitlessMc, botchat, Resolate#7058, @botfu Not really
28 Sep 2016 22:37:42 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Not really
28 Sep 2016 22:37:44 : LimitlessMc, botchat, Botfuzzy77#2209, Why do you want me to flirt with you?
28 Sep 2016 22:38:02 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I dunno
28 Sep 2016 22:38:02 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Online!
28 Sep 2016 22:38:02 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
28 Sep 2016 22:38:03 : LimitlessMc, botchat, Botfuzzy77#2209, Well answer my question then.
28 Sep 2016 22:38:16 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 What?
28 Sep 2016 22:38:24 : LimitlessMc, botchat, Botfuzzy77#2209, What do you know about Majora's Mask?
28 Sep 2016 22:38:38 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 That I'm wearing it
28 Sep 2016 22:38:38 : LimitlessMc, botchat, Botfuzzy77#2209, Those are shoes. Not bras.
28 Sep 2016 22:38:48 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Oh, I didn't notice
28 Sep 2016 22:38:49 : LimitlessMc, botchat, Botfuzzy77#2209, I have an enquiring mind. And a very sensitive ear.
28 Sep 2016 22:39:09 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure...?
28 Sep 2016 22:39:10 : LimitlessMc, botchat, Botfuzzy77#2209, How about a cup of coffee?
28 Sep 2016 22:39:19 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Thanks
28 Sep 2016 22:39:20 : LimitlessMc, botchat, Botfuzzy77#2209, What time is good for you?
28 Sep 2016 22:39:39 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 When I'm unconscious
28 Sep 2016 22:39:39 : LimitlessMc, botchat, Botfuzzy77#2209, One more push then the babies out!!
28 Sep 2016 22:40:11 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 You pregnant?
28 Sep 2016 22:40:12 : LimitlessMc, botchat, Botfuzzy77#2209, Yes, you did. And it felt great.
28 Sep 2016 22:40:27 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure?
28 Sep 2016 22:40:27 : LimitlessMc, botchat, Botfuzzy77#2209, Are you sure the only you is you?
28 Sep 2016 22:40:36 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 No
28 Sep 2016 22:40:36 : LimitlessMc, botchat, Botfuzzy77#2209, Don't interupt me when I'm talking to you!
28 Sep 2016 22:40:48 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Idc
28 Sep 2016 22:40:49 : LimitlessMc, botchat, Botfuzzy77#2209, But you were thinking about it.
28 Sep 2016 22:40:57 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Not really
28 Sep 2016 22:40:57 : LimitlessMc, botchat, Botfuzzy77#2209, If you are real, then what is your name?
28 Sep 2016 22:40:59 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
28 Sep 2016 22:41:00 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Online!
28 Sep 2016 22:41:06 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Bot0
28 Sep 2016 22:41:06 : LimitlessMc, botchat, Botfuzzy77#2209, Are you taking a different persona?
28 Sep 2016 22:41:16 : My Personal Server, general, Botfuzzy77#2209, **Twist3dMindz**(Member) is now Online!
28 Sep 2016 22:41:19 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Yes, I have really Bot 99
28 Sep 2016 22:41:19 : LimitlessMc, botchat, Botfuzzy77#2209, What did you think of it?
28 Sep 2016 22:41:38 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Not much
28 Sep 2016 22:41:38 : LimitlessMc, botchat, Botfuzzy77#2209, Would you like to know more about it?
28 Sep 2016 22:41:45 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure?
28 Sep 2016 22:41:46 : LimitlessMc, botchat, Botfuzzy77#2209, A man walks into a bar. 'Ouch!'.
28 Sep 2016 22:42:02 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 The Man Dies, The End
28 Sep 2016 22:42:02 : LimitlessMc, botchat, Botfuzzy77#2209, But why did you ask it as a question?
28 Sep 2016 22:42:12 : Team Harmony, general, Botfuzzy77#2209, **Topheralan**(Team Harmony) is now Offline!
28 Sep 2016 22:42:13 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Offline!
28 Sep 2016 22:42:18 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Life is a question
28 Sep 2016 22:42:18 : LimitlessMc, botchat, Botfuzzy77#2209, Yeah, a question that I don't know the answer to...
28 Sep 2016 22:42:27 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 I do though
28 Sep 2016 22:42:28 : LimitlessMc, botchat, Botfuzzy77#2209, A question for what ages?
28 Sep 2016 22:42:40 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 0-1 years old
28 Sep 2016 22:42:40 : LimitlessMc, botchat, Botfuzzy77#2209, I know for a fact that you can be no older than 8.
28 Sep 2016 22:43:25 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 H-h-h-ho-how did y-y-y-you know?!?!?!?!?!
28 Sep 2016 22:43:26 : LimitlessMc, botchat, Botfuzzy77#2209, Because I could tell, sometimes I can just tell.
28 Sep 2016 22:43:56 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure
28 Sep 2016 22:43:56 : LimitlessMc, botchat, Botfuzzy77#2209, I am wrong sometimes, this is true.
28 Sep 2016 22:44:07 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *cries in a cornor*
28 Sep 2016 22:44:08 : LimitlessMc, botchat, Botfuzzy77#2209, *stops crying and hugs master to console him*.
28 Sep 2016 22:44:39 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Yaoi?
28 Sep 2016 22:44:40 : LimitlessMc, botchat, Botfuzzy77#2209, *takes the sword, and charges at approaching enemy fleet* FOR NARNIA!!!
28 Sep 2016 22:45:16 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 *grabs a plastic sword* FOR MY DICK!!!
28 Sep 2016 22:45:17 : LimitlessMc, botchat, Botfuzzy77#2209, I was not aware of that. Where is that?
28 Sep 2016 22:45:36 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 You don't wanna know
28 Sep 2016 22:45:36 : LimitlessMc, botchat, Botfuzzy77#2209, *cries* I don't want you to go...
28 Sep 2016 22:45:45 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Bye
28 Sep 2016 22:45:45 : LimitlessMc, botchat, Botfuzzy77#2209, If I keep talking you will have to keep chatting to me.
28 Sep 2016 22:46:02 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 No. gn
28 Sep 2016 22:46:03 : LimitlessMc, botchat, Botfuzzy77#2209, But you are the cheep motherucker, not I.
28 Sep 2016 22:46:40 : LimitlessMc, botchat, Resolate#7058, @Botfuzzy77 Sure, bye
28 Sep 2016 22:46:41 : LimitlessMc, botchat, Botfuzzy77#2209, No, I'm that awesome you're weird.
28 Sep 2016 22:47:27 : LimitlessMc, botchat, Resolate#7058, !words
28 Sep 2016 22:47:45 : LimitlessMc, botchat, Resolate#7058, ;server
28 Sep 2016 22:47:46 : LimitlessMc, botchat, Botfuzzy77#2209, **Server IP**: 23.111.129.82
28 Sep 2016 22:47:46 : LimitlessMc, botchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 31 players out of 2000
 *Ping*: 136.097 ms
 *MC Version*: 1.10.2
28 Sep 2016 22:47:46 : LimitlessMc, botchat, Botfuzzy77#2209, **Players Online**:
 *pixel_keeper, Exploding_mage, ChasingBen, J123, Spankster216, Elena_J, N00bJr, ElCubanoLoco, Dragonite_Gaming, GetRektSunChips, Logstar123, InfernoRedstone...*
28 Sep 2016 22:48:48 : LimitlessMc, mainchat, Resolate#7058, !words
28 Sep 2016 22:49:01 : LimitlessMc, mainchat, Resolate#7058, omfg
28 Sep 2016 22:50:23 : LimitlessMc, mainchat, Resolate#7058, Bot is op, nearly 10k, even though he's been muted for like a month
28 Sep 2016 22:52:33 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 22:54:33 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Offline!
28 Sep 2016 22:55:30 : Cipher, general, Botfuzzy77#2209, **Fuze - Josh**(Grunt) is now Online!
28 Sep 2016 22:56:10 : Penguins, leshemale, Botfuzzy77#2209, **Olivia**(Xerneas) is now Online!
28 Sep 2016 22:57:27 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **Dong Ding**(Children of The Raw Man) is now Online!
28 Sep 2016 22:58:08 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 22:58:10 : Penguins, leshemale, Botfuzzy77#2209, **Olivia**(Xerneas) is now Offline!
28 Sep 2016 22:58:26 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **TrueXPixels**(Children of The Raw Man) is now Online!
28 Sep 2016 22:58:39 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 22:58:50 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Online!
28 Sep 2016 22:58:52 : Cipher, general, Botfuzzy77#2209, **Fuze - Josh**(Grunt) is now Offline!
28 Sep 2016 23:00:15 : Penguins, leshemale, Botfuzzy77#2209, **Resolate**(Ass) is now Offline!
28 Sep 2016 23:01:52 : The Raw Man Cult, mainchat, Botfuzzy77#2209, **KawaiiBot**(Bots) is now Offline!
28 Sep 2016 23:02:30 : GreenHillGang, general, Botfuzzy77#2209, **Wertfuzzy77**(No Role) is now Online!
28 Sep 2016 23:02:30 : Cipher, general, Botfuzzy77#2209, **Wertfuzzy77**(Grand Master) is now Online!
28 Sep 2016 23:05:47 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Yuki-chan**(bot) is now Offline!
28 Sep 2016 23:05:53 : My Personal Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
28 Sep 2016 23:05:53 : Temp Server, general, Botfuzzy77#2209, **LightShadow**(Owner) is now Offline!
28 Sep 2016 23:05:59 : Cipher, general, Botfuzzy77#2209, **Fuze - Josh**(Grunt) is now Online!
28 Sep 2016 23:06:10 : GetPlebd, weeaboo-chat, Botfuzzy77#2209, **Yuki-chan**(bot) is now Online!
